联通线路1,#genre#
QTV-3-高清,http://172.16.1.254:11111/rtp/239.253.254.251:8000
QTV-4,http://172.16.1.254:11111/rtp/239.253.254.252:8000
QTV-5,http://172.16.1.254:11111/rtp/239.253.254.253:8000
QTV-6,http://172.16.1.254:11111/rtp/239.253.254.254:8000
中国教育-1,http://172.16.1.254:11111/rtp/239.253.254.55:8000
山东卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.78:8000
齐鲁频道-高清,http://172.16.1.254:11111/rtp/239.253.254.114:8000
山东综艺,http://172.16.1.254:11111/rtp/239.253.254.21:8000
山东体育,http://172.16.1.254:11111/rtp/239.253.254.22:8000
山东影视,http://172.16.1.254:11111/rtp/239.253.254.19:8000
山东生活,http://172.16.1.254:11111/rtp/239.253.254.20:8000
山东公共,http://172.16.1.254:11111/rtp/239.253.254.23:8000
山东少儿,http://172.16.1.254:11111/rtp/239.253.254.25:8000
山东农科,http://172.16.1.254:11111/rtp/239.253.254.24:8000
金鹰卡通,http://172.16.1.254:11111/rtp/239.253.254.62:8000
卡酷动画,http://172.16.1.254:11111/rtp/239.253.254.61:8000
炫动卡通,http://172.16.1.254:11111/rtp/239.253.254.63:8000
优漫卡通,http://172.16.1.254:11111/rtp/239.253.254.64:8000
嘉佳卡通,http://172.16.1.254:11111/rtp/239.253.254.65:8000
湖南卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.82:8000
浙江卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.84:8000
东方卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.86:8000
江苏卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.83:8000
北京卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.85:8000
安徽卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.87:8000
深圳卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.91:8000
天津卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.89:8000
湖北卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.88:8000
广东卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.90:8000
辽宁卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.92:8000
黑龙江卫视-高清,http://172.16.1.254:11111/rtp/239.253.254.93:8000
金鹰纪实-高清,http://172.16.1.254:11111/rtp/239.253.254.103:8000
江西卫视,http://172.16.1.254:11111/rtp/239.253.254.47:8000
重庆卫视,http://172.16.1.254:11111/rtp/239.253.254.38:8000
广西卫视,http://172.16.1.254:11111/rtp/239.253.254.40:8000
河南卫视,http://172.16.1.254:11111/rtp/239.253.254.44:8000
东南卫视,http://172.16.1.254:11111/rtp/239.253.254.41:8000
四川卫视,http://172.16.1.254:11111/rtp/239.253.254.50:8000
贵州卫视,http://172.16.1.254:11111/rtp/239.253.254.51:8000
山西卫视,http://172.16.1.254:11111/rtp/239.253.254.48:8000
陕西卫视,http://172.16.1.254:11111/rtp/239.253.254.49:8000
旅游卫视,http://172.16.1.254:11111/rtp/239.253.254.35:8000
云南卫视,http://172.16.1.254:11111/rtp/239.253.254.42:8000
吉林卫视,http://172.16.1.254:11111/rtp/239.253.254.46:8000
甘肃卫视,http://172.16.1.254:11111/rtp/239.253.254.52:8000
宁夏卫视,http://172.16.1.254:11111/rtp/239.253.254.53:8000
青海卫视,http://172.16.1.254:11111/rtp/239.253.254.54:8000
西藏卫视,http://172.16.1.254:11111/rtp/239.253.254.56:8000
新疆卫视,http://172.16.1.254:11111/rtp/239.253.254.60:8000
内蒙古卫视,http://172.16.1.254:11111/rtp/239.253.254.58:8000
兵团卫视,http://172.16.1.254:11111/rtp/239.253.254.57:8000
农林卫视,http://172.16.1.254:11111/rtp/239.253.254.70:8000
三农频道,http://172.16.1.254:11111/rtp/239.253.254.96:8000
爱贝果,http://172.16.1.254:11111/rtp/239.253.254.95:8000
海看热播,http://172.16.1.254:11111/rtp/239.253.254.94:8000
海看演艺,http://172.16.1.254:11111/rtp/239.253.254.101:8000
海看健康,http://172.16.1.254:11111/rtp/239.253.254.100:8000
海看动漫,http://172.16.1.254:11111/rtp/239.253.254.99:8000
海看剧场,http://172.16.1.254:11111/rtp/239.253.254.98:8000
海看大片,http://172.16.1.254:11111/rtp/239.253.254.97:8000
QTV-党建,http://172.16.1.254:11111/rtp/239.253.254.240:8000
QTV-城阳,http://172.16.1.254:11111/rtp/239.253.254.239:8000
QTV-崂山,http://172.16.1.254:11111/rtp/239.253.254.238:8000
CCTV-1,http://172.16.1.254:11111/rtp/239.253.254.1:8000
CCTV-2,http://172.16.1.254:11111/rtp/239.253.254.3:8000
CCTV-7,http://172.16.1.254:11111/rtp/239.253.254.8:8000
CCTV-9,http://172.16.1.254:11111/rtp/239.253.254.10:8000
CCTV-12,http://172.16.1.254:11111/rtp/239.253.254.13:8000
CCTV-14,http://172.16.1.254:11111/rtp/239.253.254.15:8000
山东卫视,http://172.16.1.254:11111/rtp/239.253.254.2:8000
湖南卫视,http://172.16.1.254:11111/rtp/239.253.254.27:8000
浙江卫视,http://172.16.1.254:11111/rtp/239.253.254.29:8000
东方卫视,http://172.16.1.254:11111/rtp/239.253.254.32:8000
江苏卫视,http://172.16.1.254:11111/rtp/239.253.254.28:8000
北京卫视,http://172.16.1.254:11111/rtp/239.253.254.31:8000
安徽卫视,http://172.16.1.254:11111/rtp/239.253.254.30:8000
深圳卫视,http://172.16.1.254:11111/rtp/239.253.254.33:8000
天津卫视,http://172.16.1.254:11111/rtp/239.253.254.34:8000
湖北卫视,http://172.16.1.254:11111/rtp/239.253.254.45:8000
广东卫视,http://172.16.1.254:11111/rtp/239.253.254.39:8000
辽宁卫视,http://172.16.1.254:11111/rtp/239.253.254.36:8000
黑龙江卫视,http://172.16.1.254:11111/rtp/239.253.254.37:8000
联通线路4,#genre#
